Nom;Nom complet;sexe;race;couleurs;poids
Adam;Adam de Malte;1;tchin;jaune,vert;7.8
Romane;Romane de Autriche;2;kangai;orange,indigo,indigo;11.9
Enzo;Enzo de Italie;1;jackrute;violet,bleu;3.4
Maëlys;Maëlys de Slovaquie;2;akitinu;jaune,jaune,violet;3.5
Lola;Lola de Estonie;2;golden_ret;rouge,vert,jaune;9.9
Nathan;Nathan de Espagne;1;iriredse;orange,rouge;4.2
Jade;Jade de Lettonie;2;irisett;rouge,indigo,violet;2.6
Tom;Tom de Luxembourg;1;dunker;vert,indigo;19.0
Romane;Romane de Belgique;2;caniche;indigo;0.1
Romane;Romane de Chypre;2;danois;orange,violet,rouge;12.4
Clément;Clément de Slovénie;1;akita;jaune,vert;19.5
Léna;Léna de France;2;kangai;jaune,jaune;8.5
Adam;Adam de France;1;tchin;orange;8.8
Lola;Lola de Malte;2;tchin;orange,orange;5.5
Arthur;Arthur de Italie;1;harrier;violet;2.6
Zoé;Zoé de Portugal;2;harrier;orange,indigo,orange;9.7
Louise;Louise de Malte;2;caniche;indigo,rouge,jaune;18.7
Louis;Louis de Malte;1;jackrute;vert,vert,rouge;0.5
Manon;Manon de Finlande;2;iriredse;bleu;7.2
Sarah;Sarah de France;2;estrela;violet,vert,violet;13.5
Timéo;Timéo de Pays-Bas;1;rottweiler;jaune;10.1
Manon;Manon de Slovénie;2;iriredse;rouge,vert,rouge;0.3
Enzo;Enzo de Irlande;1;caniche;vert;3.2
Clara;Clara de France;2;maltais;orange,jaune,orange;5.2
Enzo;Enzo de Irlande;1;tchin;jaune,jaune;18.3
Maël;Maël de Allemagne;1;tchin;orange,jaune,rouge;11.0
Zoé;Zoé de Espagne;2;maltais;violet,indigo,jaune;16.0
Chloé;Chloé de Chypre;2;berger_all;indigo,vert,violet;0.4
Lina;Lina de Slovénie;2;rottweiler;vert,violet;13.9
Maël;Maël de Autriche;1;maltais;orange,vert,vert;3.1
Maëlys;Maëlys de Estonie;2;estrela;orange;7.2
Lilou;Lilou de Belgique;2;berger_all;indigo,indigo,violet;15.4
Maëlys;Maëlys de Grèce;2;berger_all;orange;8.2
Nolan;Nolan de Chypre;1;maltais;rouge,bleu;10.4
Théo;Théo de Chypre;1;ovtccau;vert,bleu,jaune;14.5
Clara;Clara de Grèce;2;basset_alp;vert,bleu,bleu;2.0
Camille;Camille de Espagne;2;danois;indigo,indigo;12.9
Louise;Louise de Estonie;2;estrela;orange,bleu,vert;17.6
Lina;Lina de Chypre;2;tchin;bleu,rouge,rouge;10.0
Lucas;Lucas de Estonie;1;danois;orange,violet,indigo;2.3
Inès;Inès de Estonie;2;iriredse;orange,jaune;10.8
Théo;Théo de Portugal;1;akita;jaune,bleu,violet;1.0
Sarah;Sarah de France;2;rottweiler;indigo,indigo;1.6
Adam;Adam de Slovaquie;1;labrador;orange;7.6
Lina;Lina de Finlande;2;dunker;orange,jaune,violet;12.8
Lilou;Lilou de Irlande;2;berger_all;bleu,rouge;19.7
Gabriel;Gabriel de Malte;1;tchin;bleu,vert;2.2
Manon;Manon de Portugal;2;akita;vert,orange;13.2
Maël;Maël de Italie;1;jackrute;indigo,vert;7.3
Inès;Inès de Slovaquie;2;berger_all;orange,jaune,indigo;1.2
Chloé;Chloé de Irlande;2;rottweiler;jaune,violet,violet;4.3
Mathis;Mathis de Allemagne;1;basset_alp;bleu,rouge;10.4
Lina;Lina de Autriche;2;estrela;violet,jaune,orange;12.4
Louna;Louna de Slovénie;2;caniche;rouge,jaune,bleu;3.9
Tom;Tom de Belgique;1;dunker;bleu,indigo;12.7
Jules;Jules de Grèce;1;rottweiler;violet,vert,rouge;4.8
Hugo;Hugo de France;1;tchin;jaune,rouge;15.8
Chloé;Chloé de Slovaquie;2;caniche;rouge;16.9
Nathan;Nathan de Pays-Bas;1;ovtccau;jaune,indigo,jaune;18.6
Lola;Lola de Luxembourg;2;kangai;bleu;7.5
Théo;Théo de Espagne;1;ovtccau;orange;4.1
Raphaël;Raphaël de Italie;1;tchin;bleu;2.5
Eva;Eva de Portugal;2;tchin;indigo,indigo,orange;2.5
Mathis;Mathis de France;1;estrela;orange,violet,jaune;10.6
Louna;Louna de Autriche;2;akita;violet,rouge,jaune;19.8
Timéo;Timéo de Malte;1;estrela;rouge,indigo;6.9
Arthur;Arthur de Allemagne;1;westie;indigo,violet,indigo;5.3
Timéo;Timéo de Pays-Bas;1;maltais;bleu,jaune;3.6
Nathan;Nathan de Portugal;1;kangai;indigo;19.5
Mathis;Mathis de Malte;1;harrier;violet,indigo,vert;7.5
Lilou;Lilou de Grèce;2;berger_all;rouge,violet,rouge;19.6
Ethan;Ethan de Estonie;1;iriredse;orange,vert;13.5
Eva;Eva de Luxembourg;2;akita;violet,bleu,bleu;14.2
Eva;Eva de France;2;labrador;violet,rouge;19.5
Manon;Manon de Portugal;2;maltais;vert,indigo;1.9
Lina;Lina de Finlande;2;iriredse;violet,rouge;10.6
Hugo;Hugo de Malte;1;irisett;orange,indigo,violet;2.8
Mathis;Mathis de Slovénie;1;harrier;violet;16.2
Hugo;Hugo de Slovénie;1;labrador;rouge;0.2
Enzo;Enzo de Luxembourg;1;caniche;jaune,jaune,vert;1.0
Emma;Emma de Italie;2;irisett;orange,vert,jaune;14.6
Mathis;Mathis de France;1;tchin;indigo,rouge;13.3
Léa;Léa de Malte;2;akita;orange;2.8
Lina;Lina de Espagne;2;berger_all;rouge,orange,jaune;6.3
Sarah;Sarah de Slovénie;2;basset_alp;violet,rouge,vert;15.4
Lina;Lina de Chypre;2;kangai;indigo,vert;1.1
Noah;Noah de Chypre;1;ovtccau;rouge;8.8
Louise;Louise de Finlande;2;maltais;indigo;12.8
Arthur;Arthur de Belgique;1;ovtccau;indigo,violet,rouge;12.8
Clément;Clément de Espagne;1;estrela;vert,violet,violet;9.7
Nolan;Nolan de Lettonie;1;akita;rouge;2.0
Gabriel;Gabriel de Irlande;1;golden_ret;jaune,bleu;8.9
Jade;Jade de Chypre;2;kangai;vert;15.7
Jade;Jade de Slovénie;2;maltais;orange,rouge;4.0
Clément;Clément de Malte;1;akita;vert,bleu,indigo;12.1
Chloé;Chloé de Irlande;2;danois;bleu,orange,rouge;13.1
Hugo;Hugo de Estonie;1;estrela;jaune,rouge,vert;13.3
Noah;Noah de Espagne;1;akita;rouge;5.6
Louis;Louis de Chypre;1;irisett;violet,vert;1.8
Jade;Jade de Espagne;2;irisett;rouge,bleu;15.8
Nathan;Nathan de Autriche;1;iriredse;indigo,orange,indigo;17.8
Lina;Lina de Belgique;2;basset_alp;jaune,bleu,indigo;8.3
Enzo;Enzo de Chypre;1;dunker;orange,orange;6.7
Alice;Alice de Espagne;2;tchin;violet,rouge,violet;17.6
Tom;Tom de Luxembourg;1;golden_ret;violet,jaune;18.5
Enzo;Enzo de Pays-Bas;1;labrador;rouge,bleu,vert;8.0
Romane;Romane de Allemagne;2;berger_all;orange,vert;18.5
Enzo;Enzo de Autriche;1;labrador;bleu;13.8
Tom;Tom de Slovaquie;1;iriredse;bleu,violet,rouge;17.2
Jules;Jules de Autriche;1;westie;bleu;3.8
Inès;Inès de Belgique;2;tchin;bleu,vert;9.8
Sarah;Sarah de Slovaquie;2;danois;indigo,indigo,violet;6.5
Adam;Adam de Belgique;1;iriredse;violet,vert,violet;11.1
Louise;Louise de Pays-Bas;2;estrela;bleu,orange;13.8
Hugo;Hugo de Slovaquie;1;akitinu;jaune,bleu,bleu;13.3
Inès;Inès de Lettonie;2;ovtccau;orange;11.8
Clara;Clara de Portugal;2;basset_alp;rouge,orange;1.2
Lina;Lina de Slovaquie;2;caniche;rouge,rouge,violet;2.5
Clément;Clément de Irlande;1;danois;vert;4.7
Emma;Emma de Finlande;2;akitinu;jaune;13.2
Enzo;Enzo de Italie;1;akita;rouge;9.6
Lucas;Lucas de Luxembourg;1;dunker;indigo,vert,orange;20.0
Léa;Léa de Espagne;2;akitinu;orange,rouge,violet;10.1
Jules;Jules de Autriche;1;labrador;jaune;15.6
Léa;Léa de Espagne;2;rottweiler;orange,bleu,bleu;17.8
Ethan;Ethan de Irlande;1;jackrute;vert,orange;11.7
Inès;Inès de Chypre;2;caniche;rouge,jaune,vert;13.3
Camille;Camille de Luxembourg;2;estrela;violet,rouge,indigo;9.0
Maël;Maël de France;1;westie;orange;7.3
Alice;Alice de Grèce;2;basset_alp;jaune,indigo;19.3
Maël;Maël de Luxembourg;1;tchin;violet,rouge,violet;16.7
Lilou;Lilou de Portugal;2;basset_alp;violet,jaune,violet;12.0
Tom;Tom de Lettonie;1;dunker;vert,bleu;18.2
Camille;Camille de Portugal;2;jackrute;vert;6.7
Léa;Léa de France;2;danois;vert,violet,indigo;9.9
Louna;Louna de Chypre;2;dunker;bleu;17.9
Chloé;Chloé de Chypre;2;estrela;bleu,jaune,rouge;9.2
Clément;Clément de Malte;1;ovtccau;violet,bleu,jaune;19.9
Camille;Camille de Lettonie;2;danois;orange,vert,vert;4.3
Lucas;Lucas de Estonie;1;caniche;jaune,indigo,vert;6.5
Nolan;Nolan de Irlande;1;akita;vert,vert;5.7
Zoé;Zoé de Chypre;2;ovtccau;orange,violet,vert;7.5
Lucas;Lucas de Espagne;1;kangai;jaune,orange,jaune;15.1
Jade;Jade de Finlande;2;rottweiler;rouge;2.4
Nathan;Nathan de Espagne;1;estrela;rouge,vert,indigo;18.5
Jade;Jade de Lettonie;2;labrador;violet,jaune,indigo;18.4
Lola;Lola de Italie;2;basset_alp;orange;14.0
Léa;Léa de France;2;dunker;rouge;9.5
Eva;Eva de Irlande;2;berger_all;indigo,rouge,orange;1.7
Théo;Théo de Lettonie;1;iriredse;bleu,rouge,orange;18.6
Maël;Maël de Pays-Bas;1;harrier;bleu;9.4
Clara;Clara de Allemagne;2;akitinu;rouge,rouge,bleu;9.2
Timéo;Timéo de Pays-Bas;1;kangai;jaune,rouge,rouge;2.0
Tom;Tom de Portugal;1;irisett;rouge;13.5
Maëlys;Maëlys de Finlande;2;maltais;bleu,orange,bleu;6.6
Clément;Clément de Chypre;1;iriredse;indigo;13.1
Alice;Alice de Portugal;2;maltais;orange;17.5
Gabriel;Gabriel de France;1;iriredse;rouge;17.2
Louise;Louise de Slovaquie;2;berger_all;rouge,vert;12.0
Alice;Alice de Chypre;2;irisett;orange;1.8
Clara;Clara de Italie;2;maltais;vert,indigo;3.6
Manon;Manon de Irlande;2;maltais;jaune,orange,bleu;12.9
Léo;Léo de Chypre;1;golden_ret;bleu,violet;8.4
Zoé;Zoé de Slovaquie;2;estrela;jaune,violet,indigo;16.2
Lucas;Lucas de Estonie;1;labrador;jaune;12.7
Clément;Clément de Irlande;1;westie;indigo,orange;8.9
Arthur;Arthur de Chypre;1;rottweiler;indigo;4.0
Raphaël;Raphaël de Grèce;1;westie;jaune,bleu,indigo;15.9
Lola;Lola de Espagne;2;ovtccau;rouge,vert,jaune;2.4
Clara;Clara de Luxembourg;2;kangai;rouge,violet,bleu;19.4
Clara;Clara de Lettonie;2;irisett;bleu,vert;0.4
Inès;Inès de France;2;akita;violet,jaune,violet;2.6
Timéo;Timéo de Pays-Bas;1;maltais;jaune;7.9
Lola;Lola de Lettonie;2;westie;orange;3.3
Nolan;Nolan de Estonie;1;estrela;rouge;8.2
Clara;Clara de Belgique;2;jackrute;indigo,vert;16.1
Léna;Léna de Allemagne;2;kangai;indigo;8.0
Léna;Léna de Slovénie;2;westie;jaune,vert,orange;10.5
Camille;Camille de Pays-Bas;2;labrador;vert;16.1
Enzo;Enzo de Luxembourg;1;maltais;vert;9.0
Théo;Théo de Slovaquie;1;labrador;indigo;13.5
Louis;Louis de Slovénie;1;berger_all;indigo,violet,orange;16.6
Lilou;Lilou de Slovaquie;2;akita;bleu;0.5
Théo;Théo de Irlande;1;tchin;rouge,bleu;19.6
Manon;Manon de Luxembourg;2;estrela;rouge;3.6
Eva;Eva de Italie;2;basset_alp;jaune,orange;3.2
Raphaël;Raphaël de France;1;estrela;orange,vert;7.3
Léa;Léa de Belgique;2;akita;indigo,rouge,jaune;15.9
Léo;Léo de Malte;1;jackrute;rouge,orange;4.3
Maëlys;Maëlys de Malte;2;jackrute;indigo,violet,rouge;10.5
Raphaël;Raphaël de Slovaquie;1;basset_alp;jaune,vert,jaune;19.8
Noah;Noah de Italie;1;labrador;indigo,bleu,indigo;18.3
Camille;Camille de France;2;caniche;rouge;1.8
Timéo;Timéo de Lettonie;1;labrador;jaune,bleu;13.3
Louise;Louise de Estonie;2;estrela;jaune;4.9
Lina;Lina de Chypre;2;basset_alp;indigo;10.7
Camille;Camille de Lettonie;2;tchin;orange,rouge;9.7
Manon;Manon de France;2;golden_ret;jaune,rouge;1.1
Léo;Léo de Chypre;1;akita;indigo;13.0
Louise;Louise de Irlande;2;ovtccau;jaune,orange;16.9
Louis;Louis de Autriche;1;estrela;rouge,violet,indigo;13.8
Mathis;Mathis de Slovénie;1;irisett;jaune,indigo,indigo;10.8
Enzo;Enzo de Estonie;1;basset_alp;violet,orange,violet;2.7
Adam;Adam de Pays-Bas;1;labrador;rouge,violet;1.0
Théo;Théo de Pays-Bas;1;rottweiler;jaune,jaune,bleu;4.1
Hugo;Hugo de Espagne;1;akitinu;rouge,orange,indigo;11.7
Emma;Emma de Italie;2;iriredse;bleu;19.5
Eva;Eva de Italie;2;rottweiler;jaune,orange;11.7
Lina;Lina de Espagne;2;harrier;bleu,vert;17.9
Alice;Alice de Malte;2;dunker;bleu,rouge;12.5
Hugo;Hugo de Belgique;1;rottweiler;jaune;7.9
